item,itemLabel,mediaID,article,japaneseTitle
http://www.wikidata.org/entity/Q317620,Tomb Raider,M752041,https://en.wikipedia.org/wiki/Tomb_Raider_(1996_video_game),トゥームレイダース
http://www.wikidata.org/entity/Q317620,Tomb Raider,M752042,https://en.wikipedia.org/wiki/Tomb_Raider_(1996_video_game),トゥームレイダース
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M730006,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,Grand Theft Auto 5
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M730007,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,Grand Theft Auto 5
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M734047,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート5
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M734048,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート5
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M734049,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート5
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M734050,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート5
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M747630,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート V
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M747631,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート V
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M747632,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート V
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M747633,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート V
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M747634,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート V
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,M747635,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,グランド・セフト・オート V
http://www.wikidata.org/entity/Q332697,Terraria,M751977,https://en.wikipedia.org/wiki/Terraria,テラリア
http://www.wikidata.org/entity/Q332697,Terraria,M751978,https://en.wikipedia.org/wiki/Terraria,テラリア
